Number_of_Points,Dimensions,Time
1000000,2,2248
1000000,4,12269
1000000,8,60403
1000000,16,128817
1000000,32,232670
1000000,64,438322
1000000,128,862662
1000000,256,1706972
1000000,512,3376909
1000000,1024,6720646
1000000,2,2247
1000000,4,6109
1000000,8,69565
1000000,16,137475
1000000,32,230088
1000000,64,443131
1000000,128,865258
1000000,256,1701426
1000000,512,3372793
1000000,1024,6721554
1000000,2,6711
1000000,4,30746
1000000,8,73986
1000000,16,129226
1000000,32,229938
1000000,64,438275
1000000,128,862634
1000000,256,1700330
1000000,512,3381488
1000000,1024,6720538
1000000,2,2137
1000000,4,15339
1000000,8,74340
1000000,16,131200
1000000,32,230545
1000000,64,439266
1000000,128,863102
1000000,256,1701479
1000000,512,3376824
1000000,1024,6724005
1000000,2,2166
1000000,4,12087
1000000,8,74201
1000000,16,130865
1000000,32,230671
1000000,64,438749
1000000,128,863552
1000000,256,1701772
1000000,512,3373147
1000000,1024,6716950
1000000,2,4475
1000000,4,12502
1000000,8,74248
1000000,16,128655
1000000,32,230416
1000000,64,441501
1000000,128,864777
1000000,256,1697224
1000000,512,3373007
1000000,1024,6728598
1000000,2,2157
1000000,4,30842
1000000,8,65068
1000000,16,129371
1000000,32,231350
1000000,64,438065
1000000,128,862544
1000000,256,1700400
1000000,512,3370519
1000000,1024,6727161
1000000,2,4273
1000000,4,6113
1000000,8,74093
1000000,16,128608
1000000,32,235161
1000000,64,438492
1000000,128,864720
1000000,256,1702369
1000000,512,3373162
1000000,1024,6720464
1000000,2,4289
1000000,4,9191
1000000,8,74343
1000000,16,129671
1000000,32,233115
1000000,64,438869
1000000,128,863172
1000000,256,1700740
1000000,512,3374915
1000000,1024,6728620
1000000,2,2332
1000000,4,3072
1000000,8,69682
1000000,16,128996
1000000,32,234747
1000000,64,438156
1000000,128,863665
1000000,256,1697930
1000000,512,3374949
1000000,1024,6728131
