Number_of_Points,Dimensions,Time
1000000,2,6904
1000000,4,8220
1000000,8,9239
1000000,16,11077
1000000,32,14009
1000000,64,19281
1000000,128,29132
1000000,256,48506
1000000,512,87327
1000000,1024,163584
1000000,2,7152
1000000,4,8242
1000000,8,9273
1000000,16,11129
1000000,32,13977
1000000,64,19014
1000000,128,28764
1000000,256,48474
1000000,512,87246
1000000,1024,163795
1000000,2,7151
1000000,4,8221
1000000,8,9213
1000000,16,11109
1000000,32,13961
1000000,64,19086
1000000,128,28826
1000000,256,48425
1000000,512,87291
1000000,1024,163926
1000000,2,7157
1000000,4,8230
1000000,8,9200
1000000,16,11121
1000000,32,13956
1000000,64,18946
1000000,128,28986
1000000,256,48442
1000000,512,87321
1000000,1024,163766
1000000,2,7169
1000000,4,8251
1000000,8,9203
1000000,16,11162
1000000,32,13949
1000000,64,19040
1000000,128,28812
1000000,256,48536
1000000,512,87243
1000000,1024,163632
1000000,2,7161
1000000,4,8205
1000000,8,9238
1000000,16,11130
1000000,32,13981
1000000,64,18986
1000000,128,28863
1000000,256,48350
1000000,512,87463
1000000,1024,164067
1000000,2,7171
1000000,4,8211
1000000,8,9221
1000000,16,11131
1000000,32,14012
1000000,64,19117
1000000,128,28833
1000000,256,48371
1000000,512,87921
1000000,1024,163763
1000000,2,7426
1000000,4,8226
1000000,8,9269
1000000,16,11122
1000000,32,13941
1000000,64,19062
1000000,128,28772
1000000,256,48424
1000000,512,87449
1000000,1024,163709
1000000,2,7146
1000000,4,8263
1000000,8,9297
1000000,16,11105
1000000,32,13967
1000000,64,19031
1000000,128,28829
1000000,256,48432
1000000,512,87397
1000000,1024,163874
1000000,2,6884
1000000,4,8242
1000000,8,9300
1000000,16,11124
1000000,32,13988
1000000,64,19032
1000000,128,29002
1000000,256,48453
1000000,512,87317
1000000,1024,163710
