Number_of_Points,Dimensions,Time,No_of_HashTables,Hashes_per_table 
1000000,2,3508,5,4
1000000,4,3765,5,4
1000000,8,4506,5,4
1000000,16,6183,5,4
1000000,32,9267,5,4
1000000,64,13622,5,4
1000000,128,21275,5,4
1000000,256,35772,5,4
1000000,512,64741,5,4
1000000,1024,122818,5,4
1000000,2,3456,5,4
1000000,4,3770,5,4
1000000,8,4491,5,4
1000000,16,6157,5,4
1000000,32,9254,5,4
1000000,64,13593,5,4
1000000,128,21295,5,4
1000000,256,36028,5,4
1000000,512,64802,5,4
1000000,1024,122722,5,4
1000000,2,3467,5,4
1000000,4,3761,5,4
1000000,8,4489,5,4
1000000,16,6135,5,4
1000000,32,9254,5,4
1000000,64,13584,5,4
1000000,128,21282,5,4
1000000,256,35800,5,4
1000000,512,64831,5,4
1000000,1024,123088,5,4
1000000,2,3471,5,4
1000000,4,3789,5,4
1000000,8,4507,5,4
1000000,16,6144,5,4
1000000,32,9229,5,4
1000000,64,13578,5,4
1000000,128,21302,5,4
1000000,256,35854,5,4
1000000,512,65058,5,4
1000000,1024,122664,5,4
1000000,2,3466,5,4
1000000,4,3765,5,4
1000000,8,4540,5,4
1000000,16,6144,5,4
1000000,32,9249,5,4
1000000,64,13597,5,4
1000000,128,21316,5,4
1000000,256,35846,5,4
1000000,512,64839,5,4
1000000,1024,122699,5,4
1000000,2,3447,5,4
1000000,4,3767,5,4
1000000,8,4518,5,4
1000000,16,6125,5,4
1000000,32,9232,5,4
1000000,64,13566,5,4
1000000,128,21250,5,4
1000000,256,35800,5,4
1000000,512,64786,5,4
1000000,1024,122726,5,4
1000000,2,3467,5,4
1000000,4,3754,5,4
1000000,8,4519,5,4
1000000,16,6139,5,4
1000000,32,9231,5,4
1000000,64,13583,5,4
1000000,128,21235,5,4
1000000,256,35780,5,4
1000000,512,64794,5,4
1000000,1024,122689,5,4
1000000,2,3463,5,4
1000000,4,3751,5,4
1000000,8,4497,5,4
1000000,16,6162,5,4
1000000,32,9221,5,4
1000000,64,13563,5,4
1000000,128,21267,5,4
1000000,256,35784,5,4
1000000,512,64780,5,4
1000000,1024,122687,5,4
1000000,2,3445,5,4
1000000,4,3752,5,4
1000000,8,4506,5,4
1000000,16,6148,5,4
1000000,32,9238,5,4
1000000,64,13546,5,4
1000000,128,21297,5,4
1000000,256,35760,5,4
1000000,512,64765,5,4
1000000,1024,122696,5,4
1000000,2,3462,5,4
1000000,4,3746,5,4
1000000,8,4508,5,4
1000000,16,6147,5,4
1000000,32,9245,5,4
1000000,64,13548,5,4
1000000,128,21220,5,4
1000000,256,35798,5,4
1000000,512,64773,5,4
1000000,1024,122695,5,4
