Number_of_Points,Dimensions,Time,No_of_HashTables,Hashes_per_table 
1000000,2,81263,5,4
1000000,4,77301,5,4
1000000,8,43194,5,4
1000000,16,54178,5,4
1000000,32,26389,5,4
1000000,64,48037,5,4
1000000,128,27332,5,4
1000000,256,32100,5,4
1000000,512,59720,5,4
1000000,1024,21291,5,4
1000000,2,83422,5,4
1000000,4,20573,5,4
1000000,8,75778,5,4
1000000,16,71789,5,4
1000000,32,31270,5,4
1000000,64,41220,5,4
1000000,128,40950,5,4
1000000,256,45174,5,4
1000000,512,57218,5,4
1000000,1024,66011,5,4
1000000,2,81357,5,4
1000000,4,78032,5,4
1000000,8,37295,5,4
1000000,16,72402,5,4
1000000,32,36404,5,4
1000000,64,41639,5,4
1000000,128,51428,5,4
1000000,256,52007,5,4
1000000,512,28223,5,4
1000000,1024,45912,5,4
1000000,2,77317,5,4
1000000,4,78466,5,4
1000000,8,76811,5,4
1000000,16,43637,5,4
1000000,32,9350,5,4
1000000,64,43178,5,4
1000000,128,46234,5,4
1000000,256,744,5,4
1000000,512,61454,5,4
1000000,1024,50001,5,4
1000000,2,82422,5,4
1000000,4,39860,5,4
1000000,8,50526,5,4
1000000,16,44201,5,4
1000000,32,26423,5,4
1000000,64,47409,5,4
1000000,128,10000,5,4
1000000,256,43638,5,4
1000000,512,54207,5,4
1000000,1024,50675,5,4
1000000,2,83974,5,4
1000000,4,72129,5,4
1000000,8,43079,5,4
1000000,16,13508,5,4
1000000,32,43543,5,4
1000000,64,40377,5,4
1000000,128,26599,5,4
1000000,256,59649,5,4
1000000,512,48338,5,4
1000000,1024,29282,5,4
1000000,2,81322,5,4
1000000,4,78287,5,4
1000000,8,72872,5,4
1000000,16,54184,5,4
1000000,32,52996,5,4
1000000,64,40480,5,4
1000000,128,13155,5,4
1000000,256,36807,5,4
1000000,512,61047,5,4
1000000,1024,11308,5,4
1000000,2,85669,5,4
1000000,4,69389,5,4
1000000,8,43274,5,4
1000000,16,13069,5,4
1000000,32,31568,5,4
1000000,64,20483,5,4
1000000,128,32449,5,4
1000000,256,18923,5,4
1000000,512,28764,5,4
1000000,1024,64019,5,4
1000000,2,78040,5,4
1000000,4,71000,5,4
1000000,8,65095,5,4
1000000,16,71863,5,4
1000000,32,54004,5,4
1000000,64,33262,5,4
1000000,128,50650,5,4
1000000,256,50744,5,4
1000000,512,60466,5,4
1000000,1024,80316,5,4
1000000,2,80595,5,4
1000000,4,38629,5,4
1000000,8,69832,5,4
1000000,16,71438,5,4
1000000,32,52085,5,4
1000000,64,35080,5,4
1000000,128,10123,5,4
1000000,256,58890,5,4
1000000,512,62515,5,4
1000000,1024,44946,5,4
