Number_of_Points,Dimensions,Time,Tree_Height
1000000,2,6,20
1000000,4,34,20
1000000,8,185,20
1000000,16,140463,20
1000000,32,320822,20
1000000,64,575131,20
1000000,128,999775,20
1000000,256,1836471,20
1000000,512,3535993,20
1000000,1024,6909783,20
1000000,2,8,20
1000000,4,28,20
1000000,8,667,20
1000000,16,83301,20
1000000,32,324664,20
1000000,64,538086,20
1000000,128,964127,20
1000000,256,1851015,20
1000000,512,3531185,20
1000000,1024,6893076,20
1000000,2,7,20
1000000,4,5,20
1000000,8,374,20
1000000,16,55939,20
1000000,32,309179,20
1000000,64,554585,20
1000000,128,978926,20
1000000,256,1840945,20
1000000,512,3546339,20
1000000,1024,6933182,20
1000000,2,11,20
1000000,4,23,20
1000000,8,229,20
1000000,16,87213,20
1000000,32,309752,20
1000000,64,570534,20
1000000,128,1006440,20
1000000,256,1834078,20
1000000,512,3528383,20
1000000,1024,6937900,20
1000000,2,8,20
1000000,4,14,20
1000000,8,421,20
1000000,16,93543,20
1000000,32,311291,20
1000000,64,553902,20
1000000,128,1014954,20
1000000,256,1875553,20
1000000,512,3525149,20
1000000,1024,6913447,20
1000000,2,8,20
1000000,4,25,20
1000000,8,221,20
1000000,16,116757,20
1000000,32,315190,20
1000000,64,572412,20
1000000,128,1004954,20
1000000,256,1839818,20
1000000,512,3556976,20
1000000,1024,6911181,20
1000000,2,7,20
1000000,4,17,20
1000000,8,135,20
1000000,16,194806,20
1000000,32,309533,20
1000000,64,572194,20
1000000,128,994960,20
1000000,256,1844867,20
1000000,512,3566891,20
1000000,1024,6929914,20
1000000,2,8,20
1000000,4,9,20
1000000,8,343,20
1000000,16,159596,20
1000000,32,304272,20
1000000,64,566621,20
1000000,128,998249,20
1000000,256,1878284,20
1000000,512,3530372,20
1000000,1024,6932011,20
1000000,2,8,20
1000000,4,8,20
1000000,8,215,20
1000000,16,163916,20
1000000,32,319469,20
1000000,64,542761,20
1000000,128,986577,20
1000000,256,1826348,20
1000000,512,3537695,20
1000000,1024,6885594,20
1000000,2,9,20
1000000,4,22,20
1000000,8,405,20
1000000,16,170644,20
1000000,32,344195,20
1000000,64,571875,20
1000000,128,972452,20
1000000,256,1893088,20
1000000,512,3545396,20
1000000,1024,6914742,20
