Number_of_Points,Dimensions,Time,Tree_Height
1000000,2,5166,22
1000000,4,5210,22
1000000,8,5384,22
1000000,16,5984,22
1000000,32,6463,22
1000000,64,7607,22
1000000,128,9332,22
1000000,256,11491,22
1000000,512,16033,22
1000000,1024,25280,22
1000000,2,5137,22
1000000,4,5205,22
1000000,8,5344,22
1000000,16,5936,22
1000000,32,6336,22
1000000,64,7316,22
1000000,128,9095,22
1000000,256,11478,22
1000000,512,15699,22
1000000,1024,25756,22
1000000,2,5133,22
1000000,4,5188,22
1000000,8,5353,22
1000000,16,5937,22
1000000,32,6338,22
1000000,64,7307,22
1000000,128,8989,22
1000000,256,11499,22
1000000,512,16076,22
1000000,1024,24279,22
1000000,2,5148,22
1000000,4,5179,22
1000000,8,5367,22
1000000,16,5925,22
1000000,32,6309,22
1000000,64,7327,22
1000000,128,9090,22
1000000,256,11464,22
1000000,512,15995,22
1000000,1024,24240,22
1000000,2,5141,22
1000000,4,5189,22
1000000,8,5358,22
1000000,16,5925,22
1000000,32,6316,22
1000000,64,7340,22
1000000,128,9070,22
1000000,256,11491,22
1000000,512,15680,22
1000000,1024,24289,22
1000000,2,5138,22
1000000,4,5186,22
1000000,8,5364,22
1000000,16,5940,22
1000000,32,6324,22
1000000,64,7330,22
1000000,128,9116,22
1000000,256,11546,22
1000000,512,15754,22
1000000,1024,25276,22
1000000,2,5135,22
1000000,4,5197,22
1000000,8,5362,22
1000000,16,5947,22
1000000,32,6291,22
1000000,64,7332,22
1000000,128,9120,22
1000000,256,11480,22
1000000,512,15965,22
1000000,1024,25293,22
1000000,2,5133,22
1000000,4,5198,22
1000000,8,5373,22
1000000,16,5919,22
1000000,32,6338,22
1000000,64,7309,22
1000000,128,9021,22
1000000,256,11461,22
1000000,512,15638,22
1000000,1024,25581,22
1000000,2,5133,22
1000000,4,5206,22
1000000,8,5367,22
1000000,16,5928,22
1000000,32,6340,22
1000000,64,7312,22
1000000,128,9009,22
1000000,256,11484,22
1000000,512,15636,22
1000000,1024,25294,22
1000000,2,5137,22
1000000,4,5192,22
1000000,8,5367,22
1000000,16,5915,22
1000000,32,6337,22
1000000,64,7361,22
1000000,128,9067,22
1000000,256,11478,22
1000000,512,16080,22
1000000,1024,24272,22
