Number_of_Points,Dimensions,Time,Tree_Height
1000000,2,5900,22
1000000,4,34180,22
1000000,8,225098,22
1000000,16,161203148,22
1000000,32,341760574,22
1000000,64,572996205,22
1000000,128,1021991301,22
1000000,256,1840881784,22
1000000,512,-790573851,22
1000000,1024,-1795924517,22
1000000,2,10271,22
1000000,4,21950,22
1000000,8,365137,22
1000000,16,87388348,22
1000000,32,344232954,22
1000000,64,530195462,22
1000000,128,991403754,22
1000000,256,1838489167,22
1000000,512,-789316479,22
1000000,1024,-1792699797,22
1000000,2,6600,22
1000000,4,6230,22
1000000,8,390530,22
1000000,16,66792060,22
1000000,32,338644668,22
1000000,64,555428973,22
1000000,128,1007494074,22
1000000,256,1863196832,22
1000000,512,-810547484,22
1000000,1024,-1836799066,22
1000000,2,10700,22
1000000,4,25770,22
1000000,8,219130,22
1000000,16,102782000,22
1000000,32,322041697,22
1000000,64,563920784,22
1000000,128,1023855303,22
1000000,256,1833345171,22
1000000,512,-830544032,22
1000000,1024,-1793156492,22
1000000,2,9410,22
1000000,4,19700,22
1000000,8,259530,22
1000000,16,103216562,22
1000000,32,334955403,22
1000000,64,546455902,22
1000000,128,1027568666,22
1000000,256,1892143179,22
1000000,512,-825301710,22
1000000,1024,-1836740240,22
1000000,2,10490,22
1000000,4,29750,22
1000000,8,207489,22
1000000,16,142523211,22
1000000,32,351732219,22
1000000,64,560484623,22
1000000,128,1009622288,22
1000000,256,1849415406,22
1000000,512,-776405305,22
1000000,1024,-1832225306,22
1000000,2,10550,22
1000000,4,21630,22
1000000,8,139379,22
1000000,16,228738201,22
1000000,32,337511376,22
1000000,64,566463461,22
1000000,128,1018055034,22
1000000,256,1857692888,22
1000000,512,-760706618,22
1000000,1024,-1784388456,22
1000000,2,11780,22
1000000,4,10670,22
1000000,8,379868,22
1000000,16,189649998,22
1000000,32,337067982,22
1000000,64,551127869,22
1000000,128,1024949314,22
1000000,256,1871599540,22
1000000,512,-787173774,22
1000000,1024,-1770370718,22
1000000,2,12240,22
1000000,4,11680,22
1000000,8,190299,22
1000000,16,200112779,22
1000000,32,335376161,22
1000000,64,540842329,22
1000000,128,1007266405,22
1000000,256,1831826671,22
1000000,512,-794038559,22
1000000,1024,-1816039719,22
1000000,2,7840,22
1000000,4,23940,22
1000000,8,493767,22
1000000,16,192867526,22
1000000,32,373044156,22
1000000,64,559223316,22
1000000,128,999711325,22
1000000,256,1879102609,22
1000000,512,-788542266,22
1000000,1024,-1851456901,22
