Number_of_Points,Dimensions,Time,Tree_Height
1000000,2,24359,20
1000000,4,24721,20
1000000,8,25255,20
1000000,16,26214,20
1000000,32,27098,20
1000000,64,28216,20
1000000,128,29979,20
1000000,256,32169,20
1000000,512,36614,20
1000000,1024,45814,20
1000000,2,24413,20
1000000,4,25087,20
1000000,8,25316,20
1000000,16,26221,20
1000000,32,27034,20
1000000,64,27990,20
1000000,128,29858,20
1000000,256,32184,20
1000000,512,36603,20
1000000,1024,45744,20
1000000,2,24402,20
1000000,4,24819,20
1000000,8,25648,20
1000000,16,26265,20
1000000,32,27054,20
1000000,64,27978,20
1000000,128,29846,20
1000000,256,32186,20
1000000,512,36613,20
1000000,1024,45768,20
1000000,2,24423,20
1000000,4,24786,20
1000000,8,25658,20
1000000,16,26205,20
1000000,32,26943,20
1000000,64,27962,20
1000000,128,29829,20
1000000,256,32108,20
1000000,512,36633,20
1000000,1024,45900,20
1000000,2,24368,20
1000000,4,25120,20
1000000,8,25306,20
1000000,16,26225,20
1000000,32,27006,20
1000000,64,27965,20
1000000,128,29777,20
1000000,256,32254,20
1000000,512,36634,20
1000000,1024,45837,20
1000000,2,24407,20
1000000,4,24801,20
1000000,8,25671,20
1000000,16,26214,20
1000000,32,26995,20
1000000,64,27973,20
1000000,128,29876,20
1000000,256,32157,20
1000000,512,36605,20
1000000,1024,45784,20
1000000,2,24410,20
1000000,4,25101,20
1000000,8,25320,20
1000000,16,26254,20
1000000,32,27023,20
1000000,64,27947,20
1000000,128,29782,20
1000000,256,32115,20
1000000,512,36651,20
1000000,1024,45799,20
1000000,2,24419,20
1000000,4,24798,20
1000000,8,25648,20
1000000,16,26229,20
1000000,32,27019,20
1000000,64,27935,20
1000000,128,29781,20
1000000,256,32124,20
1000000,512,36526,20
1000000,1024,45936,20
1000000,2,24393,20
1000000,4,25082,20
1000000,8,25327,20
1000000,16,26271,20
1000000,32,27047,20
1000000,64,27956,20
1000000,128,29842,20
1000000,256,32127,20
1000000,512,36658,20
1000000,1024,45737,20
1000000,2,24406,20
1000000,4,24815,20
1000000,8,25647,20
1000000,16,26253,20
1000000,32,26979,20
1000000,64,27986,20
1000000,128,29764,20
1000000,256,32161,20
1000000,512,36648,20
1000000,1024,45747,20
