index,LSH_Distance,KD_Distance,Difference
0,599.599,559.892,39.707
1,655.866,582.159,73.706
2,600.117,583.899,16.218
3,644.491,576.631,67.861
4,629.384,588.495,40.889
5,623.270,554.947,68.323
6,653.795,565.175,88.620
7,630.981,562.404,68.577
8,609.012,566.182,42.830
9,604.808,560.268,44.540
10,643.681,561.134,82.548
11,665.304,616.576,48.727
12,648.028,579.259,68.769
13,624.371,569.956,54.415
14,646.115,583.443,62.672
15,609.847,554.785,55.062
16,631.116,566.830,64.286
17,620.501,554.212,66.290
18,631.147,563.533,67.614
19,650.730,572.878,77.851
20,627.820,587.965,39.855
21,625.203,560.316,64.887
22,651.152,599.978,51.174
23,644.083,540.507,103.576
24,636.641,585.812,50.829
25,658.412,589.025,69.387
26,618.108,567.112,50.995
27,600.672,568.415,32.257
28,647.826,589.273,58.553
29,654.211,598.878,55.333
30,648.481,571.880,76.601
31,658.243,598.075,60.168
32,606.040,568.359,37.681
33,635.264,600.421,34.842
34,646.172,575.247,70.924
35,662.363,598.736,63.627
36,664.023,632.576,31.446
37,651.454,584.253,67.201
38,668.630,605.701,62.930
39,685.195,598.684,86.511
40,626.285,589.639,36.647
41,668.127,574.072,94.055
42,611.254,566.453,44.801
43,628.969,584.920,44.049
44,640.079,582.940,57.139
45,638.481,588.536,49.945
46,645.946,586.083,59.862
47,640.371,580.218,60.153
48,616.959,553.902,63.057
49,658.108,577.578,80.530
50,622.888,558.087,64.802
51,626.450,556.088,70.362
52,586.754,559.004,27.750
53,613.103,573.867,39.235
54,639.977,595.748,44.228
55,608.753,555.056,53.697
56,633.503,572.206,61.296
57,615.432,565.721,49.711
58,643.955,549.807,94.148
59,638.133,566.154,71.979
60,608.174,576.859,31.315
61,621.965,568.179,53.785
62,618.065,577.115,40.951
63,589.552,579.832,9.720
64,627.740,561.693,66.047
65,659.659,581.200,78.460
66,634.021,566.861,67.161
67,618.678,547.504,71.175
68,621.960,569.075,52.885
69,618.501,585.986,32.515
70,636.885,565.111,71.774
71,641.415,588.937,52.478
72,684.326,624.483,59.843
73,652.323,566.703,85.620
74,646.000,564.000,82.000
75,628.256,567.571,60.685
76,587.468,554.784,32.684
77,641.231,578.417,62.814
78,615.026,580.712,34.315
79,615.093,584.877,30.216
80,643.636,589.749,53.887
81,625.850,564.764,61.085
82,618.230,587.124,31.107
83,661.623,602.332,59.291
84,634.579,575.454,59.125
85,623.289,559.581,63.708
86,639.267,587.924,51.343
87,656.662,596.702,59.960
88,573.817,573.817,0.000
89,626.275,592.506,33.768
90,660.670,616.999,43.671
91,614.722,554.538,60.184
92,647.494,561.000,86.494
93,657.482,585.368,72.113
94,633.097,582.429,50.668
95,633.160,550.863,82.297
96,615.415,557.236,58.180
97,662.131,595.109,67.022
98,609.057,553.607,55.449
99,609.092,518.097,90.995
100,656.350,599.622,56.728
101,623.166,576.439,46.727
102,618.520,576.321,42.199
103,626.827,580.334,46.493
104,584.099,533.917,50.182
105,619.550,570.702,48.849
106,629.535,560.043,69.492
107,609.554,568.410,41.143
108,626.420,561.978,64.442
109,618.247,578.960,39.287
110,641.079,567.013,74.066
111,639.938,594.910,45.027
112,636.204,580.859,55.345
113,622.236,562.726,59.510
114,609.200,543.969,65.231
115,617.901,591.915,25.986
116,593.067,561.510,31.557
117,600.755,585.296,15.459
118,643.038,596.317,46.721
119,671.842,595.895,75.947
120,620.426,571.924,48.502
121,637.306,565.150,72.156
122,618.836,564.937,53.898
123,633.426,577.277,56.149
124,603.446,550.188,53.258
125,617.679,569.558,48.121
126,641.797,573.084,68.713
127,582.124,558.813,23.311
128,673.211,604.172,69.039
129,622.274,548.965,73.309
130,612.424,581.174,31.250
131,644.647,550.763,93.883
132,612.249,576.284,35.965
133,657.972,580.806,77.166
134,626.853,572.682,54.171
135,645.088,549.268,95.821
136,602.310,584.456,17.854
137,639.087,555.976,83.111
138,677.348,608.948,68.400
139,652.654,570.723,81.932
140,647.179,586.515,60.663
141,587.715,536.982,50.733
142,621.389,573.173,48.216
143,640.519,579.199,61.320
144,642.996,587.004,55.992
145,633.167,548.626,84.540
146,667.862,578.057,89.805
147,616.825,584.107,32.718
148,642.070,563.538,78.533
149,621.474,561.215,60.259
150,625.009,577.248,47.760
151,621.842,569.697,52.145
152,638.371,585.800,52.571
153,632.903,555.829,77.074
154,647.270,582.919,64.351
155,632.051,569.912,62.139
156,640.266,595.347,44.919
157,643.321,573.237,70.084
158,621.719,559.493,62.226
159,577.481,559.184,18.297
160,646.982,567.442,79.540
161,633.756,589.416,44.341
162,611.255,555.440,55.815
163,602.419,573.931,28.488
