index,LSH_Distance,KD_Distance,KDANN_Distance,Difference_1,Percentage_1,Difference_2,Percentage_2,Difference_3,Percentage_3
0,740.568,620.090,682.100,120.478,19.429,62.010,10.000,6.977,1.125
1,703.693,647.506,731.210,56.188,8.678,83.705,12.927,0.000,0.000
2,686.628,615.821,648.387,70.807,11.498,32.566,5.288,0.000,0.000
3,693.828,616.057,708.252,77.771,12.624,92.195,14.965,0.945,0.153
4,687.976,608.899,735.584,79.076,12.987,126.684,20.805,0.000,0.000
5,702.890,597.108,697.759,105.782,17.716,100.651,16.856,0.000,0.000
6,730.327,641.218,739.264,89.109,13.897,98.046,15.291,0.000,0.000
7,684.199,597.381,666.163,86.818,14.533,68.782,11.514,0.000,0.000
8,671.525,608.291,699.585,63.234,10.395,91.295,15.008,0.000,0.000
9,653.844,585.110,647.176,68.733,11.747,62.066,10.608,0.000,0.000
10,680.715,602.146,659.590,78.569,13.048,57.444,9.540,11.334,1.882
11,707.448,637.363,727.835,70.085,10.996,90.472,14.195,0.000,0.000
12,719.296,635.660,682.978,83.636,13.157,47.318,7.444,17.243,2.713
13,690.145,584.928,706.967,105.217,17.988,122.038,20.864,0.000,0.000
14,704.329,635.314,721.135,69.015,10.863,85.821,13.508,0.000,0.000
15,651.838,596.413,668.837,55.426,9.293,72.424,12.143,42.521,7.129
16,706.002,624.398,703.026,81.604,13.069,78.627,12.592,0.000,0.000
17,683.974,632.793,691.975,51.180,8.088,59.182,9.352,0.000,0.000
18,662.130,615.353,694.718,46.778,7.602,79.365,12.897,0.000,0.000
19,729.577,627.727,716.757,101.850,16.225,89.030,14.183,12.094,1.927
20,688.722,631.453,741.734,57.270,9.070,110.281,17.465,20.731,3.283
21,695.759,631.889,680.161,63.870,10.108,48.272,7.639,0.000,0.000
22,717.591,623.159,718.007,94.432,15.154,94.847,15.220,0.000,0.000
23,692.254,610.987,696.864,81.267,13.301,85.877,14.055,14.370,2.352
24,669.406,627.544,707.627,41.861,6.671,80.083,12.761,0.000,0.000
25,756.002,631.901,692.411,124.101,19.639,60.510,9.576,11.433,1.809
26,690.163,608.800,685.839,81.363,13.364,77.039,12.654,0.000,0.000
27,681.613,615.470,670.874,66.143,10.747,55.404,9.002,0.000,0.000
28,674.212,627.709,705.443,46.503,7.408,77.733,12.384,21.213,3.379
29,722.715,651.459,730.198,71.257,10.938,78.739,12.087,36.598,5.618
30,693.169,638.820,669.851,54.349,8.508,31.031,4.858,0.000,0.000
31,757.942,654.585,735.382,103.357,15.790,80.797,12.343,0.000,0.000
32,690.946,568.359,630.019,122.587,21.569,61.659,10.849,0.000,0.000
33,724.954,635.920,758.495,89.034,14.001,122.575,19.275,9.870,1.552
34,722.481,633.002,744.601,89.478,14.136,111.598,17.630,7.931,1.253
35,717.652,626.540,744.769,91.112,14.542,118.228,18.870,32.366,5.166
36,700.019,655.635,671.678,44.384,6.770,16.042,2.447,3.729,0.569
37,711.298,633.502,766.057,77.795,12.280,132.555,20.924,0.000,0.000
38,721.108,625.453,700.492,95.654,15.294,75.038,11.997,0.000,0.000
39,741.928,656.208,691.676,85.721,13.063,35.468,5.405,9.485,1.445
40,664.526,624.809,663.756,39.717,6.357,38.946,6.233,0.000,0.000
41,732.884,630.428,749.452,102.456,16.252,119.024,18.880,0.000,0.000
42,679.053,612.348,715.811,66.705,10.893,103.463,16.896,0.000,0.000
43,712.262,628.510,709.277,83.752,13.325,80.767,12.850,11.020,1.753
44,692.689,631.643,664.420,61.046,9.665,32.778,5.189,0.000,0.000
45,692.147,633.620,732.924,58.527,9.237,99.304,15.672,7.809,1.232
46,675.146,638.875,729.278,36.271,5.677,90.403,14.150,9.452,1.480
47,708.889,639.414,778.717,69.475,10.865,139.303,21.786,14.526,2.272
48,619.318,584.900,679.414,34.417,5.884,94.514,16.159,0.000,0.000
49,678.996,613.215,728.127,65.781,10.727,114.911,18.739,44.725,7.294
50,701.934,604.795,686.429,97.139,16.061,81.634,13.498,0.037,0.006
51,660.644,622.186,690.445,38.458,6.181,68.259,10.971,5.303,0.852
52,658.454,612.307,713.050,46.147,7.537,100.743,16.453,3.148,0.514
53,675.659,601.732,601.732,73.928,12.286,0.000,0.000,20.149,3.349
54,693.039,636.428,703.367,56.611,8.895,66.939,10.518,6.802,1.069
55,713.631,627.965,667.808,85.666,13.642,39.843,6.345,0.000,0.000
56,640.164,620.626,738.130,19.537,3.148,117.504,18.933,0.000,0.000
57,683.298,614.760,698.528,68.538,11.149,83.768,13.626,0.000,0.000
58,660.059,600.663,688.859,59.396,9.888,88.195,14.683,0.000,0.000
59,717.118,635.264,731.060,81.854,12.885,95.796,15.080,0.000,0.000
